Country,Population,% of world,Date,Source (official or from the United Nations),Notes
World,8232000000,100%,13 Jun 2025,UN projection[1][3],
India,1417492000,17.2%,1 Jul 2025,Official projection[4],[b]
China,1404890000,17.1%,31 Dec 2025,Official estimate[5],[c]
United States,341784857,4.2%,1 Jul 2025,Official estimate[6],[d]
Indonesia,284438782,3.5%,30 Jun 2025,National annual projection[7],
Pakistan,241499431,2.9%,1 Mar 2023,2023 census result[8],[e]
Nigeria,223800000,2.7%,1 Jul 2023,Official projection[9],
Brazil,213421037,2.6%,1 Jul 2025,Official estimate[10],
Bangladesh,169828911,2.1%,14 Jun 2022,2022 census result[11],[f]
Russia,146028325,1.8%,1 Jan 2025,Official estimate[13],[g]
Mexico,130760049,1.6%,30 Sep 2025,National quarterly estimate[14],
Japan,122950000,1.5%,1 Jan 2026,Monthly national estimate[15],
Philippines,114123600,1.4%,1 Jul 2025,Official projection[16],
Democratic Republic of the Congo,112832000,1.4%,1 Jul 2025,UN projection[17],
Ethiopia,111652998,1.4%,1 Jul 2025,National annual projection[18],
Egypt,107868296,1.3%,1 Jul 2025,Official estimate[19],
Vietnam,102300000,1.2%,31 Dec 2025,Official estimate[20],
Iran,86563000,1.1%,20 Mar 2025,Official projection[21],
Turkey,85664944,1.0%,31 Dec 2024,Official estimate[22],
Germany,83497147,1.0%,30 Sep 2025,National quarterly estimate[23],
United Kingdom,69487000,0.8%,30 Jun 2025,Official estimate[24],[h]
France,68736000,0.8%,1 Nov 2025,Monthly national estimate[25],[i]
Tanzania,68153004,0.8%,1 Jul 2025,Official projection[26],[j]
Thailand,65826149,0.8%,30 Nov 2025,Monthly national estimate[27],
South Africa,63100945,0.8%,30 Jun 2025,Official estimate[28],
Italy,58956824,0.7%,31 Oct 2025,Monthly national estimate[29],
Kenya,53330978,0.6%,1 Jul 2025,Official projection[30],
Colombia,53057212,0.6%,1 Jan 2025,Official projection[31],
Sudan,51662000,0.6%,1 Jul 2025,UN projection[32],
Myanmar,51375327,0.6%,15 Oct 2024,2024 census result[33],[k]
South Korea,51117378,0.6%,31 Dec 2025,Monthly national estimate[35],
Spain,49442844,0.6%,1 Oct 2025,National quarterly estimate[36],
Algeria,47400000,0.6%,1 Jan 2025,National annual projection[37],
Argentina,46387098,0.6%,1 Jul 2025,National annual projection[38],
Iraq,46118793,0.6%,24 Feb 2025,2024 census result[39],
Uganda,45905417,0.6%,10 May 2024,2024 census result[40],
Afghanistan,43844000,0.5%,1 Jul 2025,UN projection[41][42] (see note),[l]
Canada,41575585,0.5%,1 Oct 2025,National quarterly estimate[49],
Uzbekistan,38236704,0.5%,1 Jan 2026,Official estimate[50],
Poland,37363000,0.5%,31 Oct 2025,Monthly national estimate[51],
Morocco,36828330,0.4%,1 Sep 2024,2024 census result[52],[m]
Angola,36604681,0.4%,19 Sep 2024,2024 census result[53],
Saudi Arabia,35300280,0.4%,1 Jul 2024,Official estimate[54],
Peru,34350244,0.4%,1 Jul 2025,National annual projection[55],
Malaysia,34281100,0.4%,30 Sep 2025,National quarterly estimate[56],
Mozambique,34090466,0.4%,1 Jul 2025,National annual projection[57],
Ghana,33742380,0.4%,1 Jul 2025,National annual projection[58],
Yemen,32684503,0.4%,1 Jul 2023,Official estimate[59],
Madagascar,31727042,0.4%,1 Jul 2025,National annual projection[60],
Ivory Coast,31719275,0.4%,31 Dec 2024,National annual projection[61],
Nepal,29911840,0.4%,2025,National annual projection[62],
Cameroon,29442327,0.4%,1 Jul 2025,National annual projection[63],
Ukraine,28700000,0.3%,1 Sep 2025,State migration service[64],[n]
Venezuela,28517000,0.3%,1 Jul 2025,UN projection[65],
Australia,27614400,0.3%,30 Jun 2025,Official projection[66],[o]
Niger,27522750,0.3%,1 Jul 2025,National annual projection[67],
North Korea,25950000,0.3%,1 Jul 2024,National annual projection[68],
Syria,25620427,0.3%,1 Jul 2025,Monthly estimate[69],
Burkina Faso,24070553,0.3%,1 Jul 2025,Official projection[70],
Taiwan,23299132,0.3%,31 Dec 2025,Official estimate[71],[p]
Mali,22395489,0.3%,15 Jun 2022,2022 census result[72],
Sri Lanka,21781800,0.3%,19 Dec 2024,2024 census result[73],
Malawi,20734262,0.3%,1 Jul 2025,National annual projection[74],
Kazakhstan,20478879,0.2%,1 Dec 2025,Official estimate[75],
Chile,20206953,0.2%,30 Jun 2025,National annual projection[76],
Zambia,19693423,0.2%,8 Sep 2022,2022 census result[77],
Somalia,19655000,0.2%,1 Jul 2025,UN projection[78],[q]
Chad,19340757,0.2%,1 Jul 2025,National annual projection[79],
Romania,19036031,0.2%,1 Jan 2025,Official estimate[80],
Senegal,18593258,0.2%,1 Jul 2024,National annual projection[81],
Netherlands,18131238,0.2%,1 Jan 2026,Official estimate[82],[r]
Ecuador,18103660,0.2%,1 Jul 2025,National annual projection[83],
Guatemala,18079810,0.2%,1 Jul 2025,National annual projection[84],
Cambodia,17577760,0.2%,1 Jul 2025,Official projection[85],
Zimbabwe,17073087,0.2%,1 Jul 2025,Official projection[86],
South Sudan,15786898,0.2%,1 Jul 2025,National annual projection[87],
Guinea,14363931,0.2%,1 Jul 2025,National annual projection[88],
Rwanda,14104969,0.2%,1 Jul 2025,National annual projection[89],
Benin,13224860,0.2%,1 Jul 2025,National annual projection[90],
Burundi,12332788,0.1%,16 Aug 2024,Preliminary census result[91],
Tunisia,11972169,0.1%,6 Nov 2024,2024 census result[92],
Belgium,11924322,0.1%,1 Nov 2025,Official estimate[93],
Haiti,11867032,0.1%,1 Jul 2024,National annual projection[94],
Jordan,11734000,0.1%,31 Dec 2024,National estimate[95],
Bolivia,11365333,0.1%,23 Mar 2024,2024 census result[96],
United Arab Emirates,11294243,0.1%,31 Dec 2024,Official estimate[97],
Czech Republic,10897178,0.1%,30 Sep 2025,Official estimate[98],
Dominican Republic,10771504,0.1%,10 Nov 2022,2022 census result[99],
Portugal,10749635,0.1%,31 Dec 2024,Official estimate[100],
Sweden,10608003,0.1%,30 Nov 2025,Monthly national estimate[101],
Tajikistan,10499000,0.1%,1 Jan 2025,Official estimate[102],
Greece,10372335,0.1%,1 Jan 2025,Official estimate[103],
Azerbaijan,10259701,0.1%,1 Dec 2025,Monthly national estimate[104],
Papua New Guinea,10185363,0.1%,16 Jun 2024,2024 census result[105],
Israel,10178000,0.1%,31 Dec 2025,Monthly national estimate[106],[s]
Honduras,9892632,0.1%,1 Jul 2024,National annual projection[107],
Cuba,9748007,0.1%,31 Dec 2024,Official estimate[108],
Hungary,9539502,0.1%,1 Jan 2025,Official estimate[109],
Austria,9216459,0.1%,1 Oct 2025,National quarterly estimate[110],
Belarus,9109280,0.1%,1 Jan 2025,Official estimate[111],
Switzerland,9104063,0.1%,30 Sep 2025,National quarterly estimate[112],
Sierra Leone,9077691,0.1%,1 Jul 2025,National annual projection[113],
Togo,8095498,0.10%,8 Nov 2022,2022 census result[114],
Laos,7647000,0.09%,1 Jul 2024,National annual projection[115],
Hong Kong (China),7527500,0.09%,30 Jun 2025,National estimate[116],
Libya,7459000,0.09%,1 Jul 2025,UN projection[117],
Kyrgyzstan,7281800,0.09%,1 Jan 2025,Monthly national estimate[118],
Turkmenistan,7057841,0.09%,17 Dec 2022,2022 census result[119],
Nicaragua,6874748,0.08%,30 Jun 2024,Official estimate[120],
Serbia,6567783,0.08%,1 Jan 2025,Official estimate[121],[t]
Central African Republic,6470307,0.08%,1 Jul 2024,National annual projection[122],
Bulgaria,6437360,0.08%,31 Dec 2024,Official estimate[123],
Republic of the Congo,6142180,0.07%,17 May 2023,2023 census result[124],
Singapore,6110200,0.07%,30 Jun 2025,National annual projection[125],
Paraguay,6109644,0.07%,9 Nov 2022,2022 census result[126],
El Salvador,6029976,0.07%,2 May 2024,2024 census result[127],
Denmark,6027601,0.07%,1 Dec 2025,Monthly national estimate[128],[u]
Finland,5656900,0.07%,1 Jan 2026,Monthly national estimate[129],[v]
Norway,5618354,0.07%,30 Sep 2025,National quarterly estimate[130],[w]
Lebanon,5490000,0.07%,1 Jul 2021,Official estimate[131],
Palestine,5483450,0.07%,1 Jan 2023,National annual projection[132],[x]
Ireland,5458600,0.07%,1 Apr 2025,National estimate[133],
Slovakia,5413191,0.07%,30 Sep 2025,National quarterly estimate[134],
Oman,5357728,0.07%,30 Nov 2025,Monthly national estimate[135],
New Zealand,5334200,0.06%,30 Sep 2025,National quarterly estimate[136],[y]
Liberia,5248621,0.06%,10 Nov 2022,2022 census result[137],
Costa Rica,5191824,0.06%,30 Jun 2025,National annual projection[138],
Mauritania,4927532,0.06%,25 Dec 2023,2023 census result[139],
Kuwait,4881254,0.06%,1 Jan 2025,Official estimate[140],
Panama,4064780,0.05%,8 Jan 2023,2023 census result[141],
Croatia,3866233,0.05%,1 Jul 2024,Official estimate[142],
Georgia,3704500,0.05%,1 Jan 2025,Official estimate[143],[z]
Eritrea,3607000,0.04%,1 Jul 2025,UN projection[144] (see note),[aa]
Mongolia,3544835,0.04%,31 Dec 2024,National annual projection[151],
Uruguay,3485931,0.04%,30 Jun 2025,National annual projection[152],
Bosnia and Herzegovina,3412000,0.04%,1 Jul 2024,Official estimate[153],
Qatar,3214609,0.04%,31 Dec 2025,Monthly national estimate[154],
Puerto Rico (US),3203295,0.04%,1 Jul 2024,Annual projection[155],
Armenia,3076200,0.04%,1 Jan 2025,Official estimate[156],
Namibia,3022401,0.04%,24 Sep 2023,2023 Census[157],
Lithuania,2897009,0.04%,1 Jan 2026,Monthly national estimate[158],
Jamaica,2774538,0.03%,12 Sep 2022,2022 census result[159],
Gabon,2469296,0.03%,1 Jul 2025,National annual projection[160],
Gambia,2422712,0.03%,1 May 2024,Preliminary census results[161],
Moldova,2381300,0.03%,1 Jan 2025,Official estimate[162],[ab]
Albania,2363314,0.03%,1 Jan 2025,Official estimate[163],
Botswana,2359609,0.03%,18 Mar 2022,2022 census result[164],
Slovenia,2130986,0.03%,1 Jul 2025,National quarterly estimate[165],
Lesotho,2116427,0.03%,2024,Official survey[166],
Guinea-Bissau,1852784,0.02%,1 Jul 2025,National annual projection[167],
Latvia,1824800,0.02%,1 Dec 2025,Monthly national estimate[168],
North Macedonia,1822612,0.02%,31 Dec 2024,Official estimate[169],
Equatorial Guinea,1668768,0.02%,1 Jul 2024,Official estimate[170],
Bahrain,1594654,0.02%,31 Dec 2024,Official estimate[171],
Kosovo,1585566,0.02%,4 Apr 2024,2024 national census[172],
Timor-Leste,1391221,0.02%,1 Jul 2025,National annual projection[173],
Trinidad and Tobago,1367764,0.02%,30 Jun 2025,Official estimate[174],
Estonia,1362954,0.02%,1 Jan 2026,Official estimate[175],
Mauritius,1243741,0.02%,1 Jul 2025,National estimate[176],
Eswatini,1235549,0.02%,1 Jul 2024,Official projection[177],
Djibouti,1066809,0.01%,20 May 2024,2024 census result[178],
Cyprus,966400,0.01%,31 Dec 2023,Official estimate[179],[ac]
Comoros,919901,0.01%,2025,Official estimate[180],
Fiji,900869,0.01%,1 Jan 2025,National annual projection[181],
Bhutan,784043,0.010%,2025,National annual projection[182],
Guyana,772975,0.009%,1 Jul 2021,Official estimate[183],
Solomon Islands,750325,0.009%,1 Jul 2024,National annual projection[184],
Macau (China),686600,0.008%,30 Sep 2025,National quarterly estimate[185],
Luxembourg,681973,0.008%,1 Jan 2025,Official estimate[186],
Montenegro,623327,0.008%,1 Jan 2025,Official estimate[187],
Suriname,616500,0.007%,1 Jul 2021,Official estimate[188],
Western Sahara (disputed),600904,0.007%,1 Jul 2025,UN projection[189],
Malta,574250,0.007%,31 Dec 2024,Official estimate[190],
Maldives,515132,0.006%,13 Sep 2022,2022 census result[191],
Cape Verde,491233,0.006%,16 Jun 2021,2021 census result[192],
Northern Cyprus,476214,0.006%,31 Dec 2023,Official projection[193],[ad]
Brunei,455500,0.006%,1 Jul 2024,Official estimate[194],
Belize,417634,0.005%,1 Jul 2025,Official estimate[195],
Bahamas,398165,0.005%,4 Apr 2022,2022 census result[196],
Iceland,393160,0.005%,1 Oct 2025,National quarterly estimate[197],
Transnistria,367776,0.004%,31 Mar 2024,Official estimate[198],[ae]
Vanuatu,321409,0.004%,1 Jul 2024,National annual projection[199],
French Polynesia (France),279500,0.003%,31 Dec 2024,National annual projection[200],
Barbados,267800,0.003%,31 Dec 2022,Official estimate[201],
New Caledonia (France),264596,0.003%,1 Jan 2025,National annual projection[202],
Abkhazia,244236,0.003%,1 Jan 2022,Official estimate[203],[af]
São Tomé and Príncipe,209607,0.003%,2024,Preliminary census result[204],
Samoa,205557,0.002%,6 Nov 2021,2021 Census[205],
Saint Lucia,184100,0.002%,1 Jul 2023,Official estimate[206],
Curaçao (Netherlands),156115,0.002%,1 Jan 2025,Official estimate[207],
Guam (US),153836,0.002%,1 Apr 2020,2020 census result[208],
Seychelles,122729,0.001%,30 Jun 2025,Official estimate[209],
Kiribati,120740,0.001%,1 Jul 2021,National annual projection[199],
Saint Vincent and the Grenadines,110872,0.001%,1 Jul 2022,Official estimate[210],
Aruba (Netherlands),109435,0.001%,30 Jun 2025,Official estimate[211],
Grenada,109021,0.001%,2021,Preliminary Census results[212],
Micronesia,105564,0.001%,2025,National annual projection[213],
Antigua and Barbuda,103603,0.001%,1 Jan 2024,Official estimate[214],
Jersey (UK),103267,0.001%,21 Mar 2021,2021 census result[215],
Tonga,100179,0.001%,30 Nov 2021,2021 census result[216],
Andorra,89058,0.001%,1 Jan 2026,Monthly national estimate[217],
Cayman Islands (UK),88833,0.001%,31 Dec 2024,National annual projection[218],
U.S. Virgin Islands (US),87146,0.001%,1 Apr 2020,2020 census result[219],
Isle of Man (UK),84975,0.001%,1 Apr 2025,Official estimate[220],
Dominica,67408,0.0008%,31 Dec 2017,Official estimate[221],
Guernsey (UK),64781,0.0008%,31 Dec 2023,National quarterly estimate[222],
Bermuda (UK),64055,0.0008%,1 Jul 2021,National annual projection[223],
Greenland (Denmark),56831,0.0007%,1 Jul 2025,National quarterly estimate[224],
South Ossetia,56520,0.0007%,31 Dec 2021,Official estimate[225],[ag]
Faroe Islands (Denmark),54870,0.0007%,1 Nov 2025,Monthly national estimate[226],
Saint Kitts and Nevis,51320,0.0006%,2022,2022 census result[227],
Turks and Caicos Islands (UK),50828,0.0006%,1 Jul 2024,Official estimate[228],
American Samoa (US),49710,0.0006%,1 Apr 2020,2020 census result[229],
Northern Mariana Islands (US),47329,0.0006%,1 Apr 2020,2020 census result[230],
Marshall Islands,42418,0.0005%,30 Sep 2021,2021 Census[231],
Sint Maarten (Netherlands),41349,0.0005%,1 Jan 2025,Official estimate[232],
Liechtenstein,41024,0.0005%,30 Jun 2024,National estimate[233],
British Virgin Islands (UK),39471,0.0005%,1 Jul 2024,UN projection[234],
Monaco,38423,0.0005%,31 Dec 2024,Census[235],
Gibraltar (UK),38196,0.0005%,14 Nov 2022,Preliminary census results[236],
San Marino,34168,0.0004%,30 Nov 2025,Monthly national estimate[237],
Saint Martin (France),31496,0.0004%,1 Jan 2025,Official estimate[238],
Palau,16733,0.0002%,1 Jul 2021,2021 Census[239],
Anguilla (UK),16010,0.0002%,31 Dec 2024,Official estimate[240],
Cook Islands (New Zealand),15040,0.0002%,1 Jul 2021,2021 Census[241],
Nauru,11680,0.0001%,30 Oct 2021,2021 Census[242],
Wallis and Futuna (France),11620,0.0001%,24 Jul 2023,2023 Census[243],
Tuvalu,10643,0.0001%,12 Dec 2022,2022 Census[244],
Saint Barthélemy (France),10562,0.0001%,1 Jan 2025,Official estimate[238],
Saint Pierre and Miquelon (France),5819,0%,1 Jan 2025,Official estimate[238],
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,0%,1 Jul 2021,2021 Census[245][246][247],
Montserrat (UK),4386,0%,23 Sep 2023,2023 census result[248],
Falkland Islands (UK),3662,0%,10 Oct 2021,2021 census result[249],
Tokelau (New Zealand),2608,0%,1 Jan 2025,2025 Census[250],
Norfolk Island (Australia),2188,0%,1 Jan 2021,2021 Census[251],
Christmas Island (Australia),1692,0%,1 Jan 2021,2021 Census[252],
Niue (New Zealand),1681,0%,11 Nov 2022,2022 Census[253],
Vatican City,882,0%,31 Dec 2024,Official figure[254],[ah]
Cocos (Keeling) Islands (Australia),593,0%,30 Jun 2020,2021 Census[255],
Pitcairn Islands (UK),35,0%,1 Jul 2023,Official estimate[256],
